@relation yeast-train.arff

@attribute Att1 numeric
@attribute Att2 numeric
@attribute Att3 numeric
@attribute Att4 numeric
@attribute Att5 numeric
@attribute Att6 numeric
@attribute Att7 numeric
@attribute Att8 numeric
@attribute Att9 numeric
@attribute Att10 numeric
@attribute Att11 numeric
@attribute Att12 numeric
@attribute Att13 numeric
@attribute Att14 numeric
@attribute Att15 numeric
@attribute Att16 numeric
@attribute Att17 numeric
@attribute Att18 numeric
@attribute Att19 numeric
@attribute Att20 numeric
@attribute Att21 numeric
@attribute Att22 numeric
@attribute Att23 numeric
@attribute Att24 numeric
@attribute Att25 numeric
@attribute Att26 numeric
@attribute Att27 numeric
@attribute Class1 numeric
@attribute Class2 numeric
@attribute Class3 numeric
@attribute Class4 numeric
@attribute Class5 numeric
@attribute Class6 numeric
@attribute Class7 numeric
@attribute Class8 numeric
@attribute Class9 numeric
@attribute Class10 numeric
@attribute Class11 numeric
@attribute Class12 numeric
@attribute Class13 numeric
@attribute Class14 numeric
@attribute Class15 numeric
@attribute Class16 numeric
@attribute Class17 numeric
@attribute Class18 numeric
@attribute Class19 numeric
@attribute Class20 numeric
@attribute Class21 numeric
@attribute Class22 numeric

@data
0.000801,0.333333,0.036829,0.000801,0,0,0.25,0.002402,0.025,0.000801,1,0.007206,0,0.015212,0.010408,0,0.000801,0.025,0.001601,0,0.001601,0.007206,0.272977,0.085048,0.344307,0.153635,0.144033,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.000801,0.216216,0.036829,0.000801,0.028037,0,0.243243,0.081081,0.027027,0.000801,0.914286,0.027027,0,0.021277,0.010408,0.021277,0.027027,0.042553,0.021277,0,0.001601,0.057143,0.321519,0.070886,0.372152,0.146835,0.088608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.013223,0.002513,0.004959,0.939698,0.268041,0.375207,0.01157,0.013223,0,0.018182,0.003306,0.006826,0.001653,0.026446,0.010309,0.464832,0.391736,0.007538,0.003306,0,0.005025,0.276289,0.057732,0.397938,0.125773,0.142268,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002907,0.075581,0.002907,0.005814,0.939698,0.268041,0.884615,0.020349,0.026163,0.002907,0.087209,0.020349,0.006826,0.005814,0.026446,0.010309,0.464832,0.391736,0.014535,0.003306,0.014535,0.005025,0.434426,0.036885,0.340164,0.102459,0.086066,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002907,0.075581,0.002907,0.005814,0.939698,0.268041,0.375207,0.020349,0.026163,0.002907,0.087209,0.020349,0.006826,0.005814,0.026446,0.010309,0.464832,0.391736,0.014535,0.003306,0.014535,0.005025,0.223005,0.06338,0.507042,0.100939,0.105634,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.013223,0.002513,0.004959,0.939698,0.268041,0.804878,0.01157,0.013223,0,0.018182,0.003306,0.006826,0.001653,0.026446,0.02439,0.971831,0.391736,0.007538,0.003306,0,0.005025,0.322242,0.071804,0.318739,0.168126,0.119089,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002765,0.349498,0.003226,0.009677,1,0.291667,0.174654,0.024885,0.310201,0.011521,0.056856,0.124582,0,0.006452,0.015207,0.004147,0.173913,0.076959,0.0301,0.003687,0.016129,0.074415,0.337237,0.065574,0.355972,0.114754,0.126464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.005025,0.002513,0.003086,0.939698,0.171367,0.308642,0.003086,0.003086,0,0.003086,0.003086,0.006826,0,0.003058,0.002513,0.464832,0.102151,0.007538,0,0,0.005025,0.285714,0.057143,0.377143,0.137143,0.142857,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006036,0.098592,0.002012,0.020121,0.666667,0.007673,0.366862,0.024145,0.022133,0.008048,0.122736,0.030181,0,0.004024,0.004557,0.002012,0.039642,1,0.002279,0.017253,0.01006,0.002012,0.28125,0.061343,0.383102,0.141204,0.133102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.032258,1,0.006908,0.333333,0.0625,0.007098,0.652491,0.5,0.195853,0.058824,0.333333,0.25,0.003549,0.013889,0.027778,0.004147,0.076309,0.521127,0.027189,0.5,0.176471,0.057604,0.314516,0.048387,0.491935,0.072581,0.072581,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005714,0.342857,0.011429,0.625,0.035714,0.000911,0.652491,0.5,0.053686,0.017143,0.1,0.035714,0.000304,0.013158,0.025,0.002647,0.037429,0.435539,0.012476,0.117541,0.262857,0.015123,0.255613,0.098446,0.423143,0.122625,0.100173,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002825,0.471751,0.003549,0.029162,0.048802,0.007673,0.652491,0.125,0.050577,0.014124,0.118644,0.039548,0.003549,0.00976,0.007098,0.002662,0.076309,0.825843,0.016859,0.020049,0.022599,0.021295,0.330893,0.137628,0.308931,0.10981,0.112738,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006036,1,0.071429,0.173599,0.011982,0.000911,0.666667,0.533333,0.333333,0.066667,0.205589,0.222222,0.000304,0.067864,0.222222,0.013333,0.083333,0.521127,0.027189,0.117541,0.262857,0.066667,0.294304,0.050633,0.370253,0.161392,0.123418,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006036,0.098592,0.003421,0.029162,0.007898,0.000911,0.652491,0.041009,0.125,0.008696,0.625,0.049031,0.000304,0.006427,0.014745,0.002647,0.100342,0.521127,0.012476,0.020049,0.01006,0.037628,0.210526,0.038596,0.515789,0.094737,0.140351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001395,0.166667,0.005579,0.052632,0.082287,0.011158,0.652491,0.083333,0.105263,0.007594,0.105263,0.105263,0.001395,0.005164,0.011111,0.009763,0.144444,0.888889,0.019526,0.020049,0.006987,0.018131,0.394737,0.078947,0.394737,0.082237,0.049342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.002532,0.056886,0.086957,0.002899,1,0.171367,0.521739,0.002994,0.118987,0.002899,0.152695,0.028986,0.008889,0.056886,0.008696,0.008889,0.202532,0.214493,0.070886,0.002994,0.008696,0.032934,0.274436,0.075188,0.338346,0.184211,0.12782,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000801,0.071257,0.036829,0.000801,0,0,0.040833,0.002402,0.005604,0.000801,1,0.007206,0,0.015212,0.010408,0,0.000801,0.020016,0.001601,0,0.001601,0.007206,0.300613,0.070552,0.453988,0.08589,0.088957,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.083333,0.591537,0.006908,0.029162,0.011982,0.000911,0.652491,0.042314,0.195853,0.011521,0.083333,0.096313,0.000304,0.006908,0.083333,0.004147,0.047465,0.349635,0.027189,0.020049,0.083333,0.057604,0.377778,0.113889,0.319444,0.133333,0.055556,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.052174,0.002513,0,0.939698,0.171367,0.365217,0,0.026087,0,0.043478,0.017391,0,0,0.008696,0.002513,0.5,0.234783,0.043478,0,0.008696,0.034783,0.288184,0.086455,0.377522,0.132565,0.115274,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002907,0.075581,0.002907,0.029162,0.402062,0.268041,0.652491,0.041009,0.026163,0.007594,0.087209,0.02339,0.006826,0.005814,0.026446,0.010309,0.464832,0.391736,0.014535,0.020049,0.014535,0.004557,0.296296,0.090278,0.377315,0.134259,0.101852,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.009934,0.098592,0.036829,0.020121,0.004024,0,0.254967,0.024145,0.02649,0.015152,0.848485,0.030181,0,0.015212,0.010408,0.002012,0.019868,0.549669,0.003311,0,0.016556,0.007206,0.324538,0.081794,0.329815,0.131926,0.131926,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.119048,0.111111,0.003086,1,0.171367,0.308642,0.009346,0.02381,0,0.785047,0.02381,0.006173,0.009346,0,0.022222,0.354938,0.333333,0.111111,0,0,0.111111,0.23716,0.048338,0.430514,0.167674,0.116314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001215,0.051033,0.002126,0.029162,0.212963,0.119454,0.652491,0.041009,0.019745,0.007594,0.024605,0.02339,0.006826,0.005164,0.006987,0.001823,0.464832,0.349635,0.00729,0.020049,0.006987,0.004557,0.367925,0.056604,0.3,0.135849,0.139623,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001215,0.190476,0.047619,0.029162,0.007898,0.000911,1,0.047619,0.095238,0.007594,0.095238,0.047619,0.000304,0.005164,0.047619,0.001823,0.095238,0.349635,0.00729,0.020049,0.006987,0.047619,0.264789,0.107042,0.357746,0.135211,0.135211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018405,0.268293,0.003311,0.625,0.007898,0.000911,0.666667,0.25,0.068966,0.071429,0.122736,0.142857,0.000304,0.013158,0.047619,0.002012,0.034483,0.750326,0.00729,0.159091,0.04878,0.02381,0.392283,0.141479,0.299035,0.099678,0.067524,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000801,0.119658,0.036829,0.000801,0.028037,0,0.08547,0.009346,0.025641,0.000801,0.832666,0.009346,0,0.015212,0.010408,0.009346,0.000801,0.068376,0.001601,0,0.001601,0.059829,0.283721,0.051163,0.451163,0.130233,0.083721,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.002907,0.075581,0.002907,0.005814,0.939698,0.268041,0.375207,0.020349,0.026163,0.002907,0.087209,0.020349,0.006826,0.005814,0.026446,0.010309,0.464832,0.391736,0.014535,0.003306,0.014535,0.005025,0.30427,0.088968,0.354093,0.139976,0.112693,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.032258,0.349498,0.007707,0.032258,0.011982,0.000836,0.322581,0.032258,0.516129,0.019084,0.071291,0.698473,0,0.011561,0.015207,0.004147,0.047465,0.129032,0.0301,0.003687,0.016129,0.074415,0.314763,0.091922,0.373259,0.10585,0.114206,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.007092,0.349498,0.003226,0.029162,0.011982,0.000911,0.652491,0.042553,0.80814,0.051724,0.056856,0.124582,0.000304,0.017241,0.015207,0.018732,0.047465,0.539007,0.0301,0.020049,0.017241,0.074415,0.316583,0.083752,0.370184,0.118928,0.110553,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000801,0.071257,0.036829,0.000801,0,0,0.040833,0.002402,0.005604,0.000801,0.832666,0.007206,0,0.015212,0.010408,0,0.000801,0.020016,0.001601,0,0.001601,0.007206,0.311224,0.061224,0.438776,0.096939,0.091837,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.006452,1,0.006908,0.027221,0.016971,0.001305,0.352363,0.042314,0.310201,0.022193,0.142857,0.124582,0,0.006908,0.138889,0.004147,0.167742,0.435539,0.055556,0.016257,0.571429,0.277778,0.214286,0.063187,0.451923,0.159341,0.111264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004386,0.177645,0.004386,0.04918,0.016393,0.000911,0.652491,0.25,0.100877,0.00998,0.205589,0.043912,0.000304,0.067864,0.06986,0.002193,0.138158,0.349635,0.01996,0.065574,0.016393,0.037281,0.328283,0.075758,0.376263,0.118687,0.10101,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
