Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Att21,Att22,Att23,Att24,Att25,Att26,Att27,Class1,Class2,Class3,Class4,Class5,Class6,Class7,Class8,Class9,Class10,Class11,Class12,Class13,Class14,Class15,Class16,Class17,Class18,Class19,Class20,Class21,Class22
8.01E-04,0.333333333,0.036829464,8.01E-04,0,0,0.25,0.002401922,0.025,8.01E-04,1,0.007205765,0,0.01521217,0.010408327,0,8.01E-04,0.025,0.001601281,0,0.001601281,0.007205765,0.27297668,0.085048011,0.34430727,0.153635117,0.144032922,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.01E-04,0.216216216,0.036829464,8.01E-04,0.028037383,0,0.243243243,0.081081081,0.027027027,8.01E-04,0.914285714,0.027027027,0,0.021276596,0.010408327,0.021276596,0.027027027,0.042553191,0.021276596,0,0.001601281,0.057142857,0.321518987,0.070886076,0.372151899,0.146835443,0.088607595,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.01322314,0.002512563,0.004958678,0.939698492,0.268041237,0.375206612,0.011570248,0.01322314,0,0.018181818,0.003305785,0.006825939,0.001652893,0.026446281,0.010309278,0.464831804,0.391735537,0.007537688,0.003305785,0,0.005025126,0.27628866,0.057731959,0.397938144,0.125773196,0.142268041,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002906977,0.075581395,0.002906977,0.005813953,0.939698492,0.268041237,0.884615385,0.020348837,0.026162791,0.002906977,0.087209302,0.020348837,0.006825939,0.005813953,0.026446281,0.010309278,0.464831804,0.391735537,0.014534884,0.003305785,0.014534884,0.005025126,0.43442623,0.036885246,0.340163934,0.102459016,0.086065574,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002906977,0.075581395,0.002906977,0.005813953,0.939698492,0.268041237,0.375206612,0.020348837,0.026162791,0.002906977,0.087209302,0.020348837,0.006825939,0.005813953,0.026446281,0.010309278,0.464831804,0.391735537,0.014534884,0.003305785,0.014534884,0.005025126,0.223004695,0.063380282,0.507042254,0.100938967,0.105633803,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.01322314,0.002512563,0.004958678,0.939698492,0.268041237,0.804878049,0.011570248,0.01322314,0,0.018181818,0.003305785,0.006825939,0.001652893,0.026446281,0.024390244,0.971830986,0.391735537,0.007537688,0.003305785,0,0.005025126,0.322241681,0.071803853,0.318739054,0.168126095,0.119089317,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002764977,0.349498328,0.003225806,0.009677419,1,0.291666667,0.174654378,0.024884793,0.310200669,0.011520737,0.056856187,0.12458194,0,0.006451613,0.015207373,0.004147465,0.173913043,0.076958525,0.030100334,0.003686636,0.016129032,0.074414716,0.337236534,0.06557377,0.355971897,0.114754098,0.1264637,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.005025126,0.002512563,0.00308642,0.939698492,0.171366594,0.308641975,0.00308642,0.00308642,0,0.00308642,0.00308642,0.006825939,0,0.003058104,0.002512563,0.464831804,0.102150538,0.007537688,0,0,0.005025126,0.285714286,0.057142857,0.377142857,0.137142857,0.142857143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006036217,0.098591549,0.002012072,0.020120724,0.666666667,0.007672634,0.366861979,0.024144869,0.022132797,0.00804829,0.122736419,0.030181087,0,0.004024145,0.004557292,0.002012072,0.039641944,1,0.002278646,0.017252604,0.010060362,0.002012072,0.28125,0.061342593,0.383101852,0.141203704,0.133101852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.032258065,1,0.006908463,0.333333333,0.0625,0.007098492,0.652490887,0.5,0.195852535,0.058823529,0.333333333,0.25,0.003549246,0.013888889,0.027777778,0.004147465,0.076308784,0.521126761,0.02718894,0.5,0.176470588,0.057603687,0.314516129,0.048387097,0.491935484,0.072580645,0.072580645,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
