@relation MultiLabelData


@attribute Att1 numeric
@attribute Att2 numeric
@attribute Att3 numeric
@attribute Att4 numeric
@attribute Att5 numeric
@attribute Att6 numeric
@attribute Att7 numeric
@attribute Att8 numeric
@attribute Att9 numeric
@attribute Att10 numeric
@attribute Att11 numeric
@attribute Att12 numeric
@attribute Att13 numeric
@attribute Att14 numeric
@attribute Att15 numeric
@attribute Att16 numeric
@attribute Att17 numeric
@attribute Att18 numeric
@attribute Att19 numeric
@attribute Att20 numeric
@attribute Att21 numeric
@attribute Att22 numeric
@attribute Class1 {0,1}
@attribute Class2 {0,1}
@attribute Class3 {0,1}
@attribute Class4 {0,1}
@attribute Class5 {0,1}
@attribute Class6 {0,1}
@attribute Class7 {0,1}
@attribute Class8 {0,1}
@attribute Class9 {0,1}
@attribute Class10 {0,1}
@attribute Class11 {0,1}
@attribute Class12 {0,1}
@attribute Class13 {0,1}
@attribute Class14 {0,1}
@attribute Class15 {0,1}
@attribute Class16 {0,1}
@attribute Class17 {0,1}
@attribute Class18 {0,1}
@attribute Class19 {0,1}
@attribute Class20 {0,1}
@attribute Class21 {0,1}
@attribute Class22 {0,1}

@data
0.000801,0.333333,0.036829,0.000801,0,0,0.25,0.002402,0.025,0.000801,1,0.007206,0,0.015212,0.010408,0,0.000801,0.025,0.001601,0,0.001601,0.007206,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.000801,0.216216,0.036829,0.000801,0.028037,0,0.243243,0.081081,0.027027,0.000801,0.914286,0.027027,0,0.021277,0.010408,0.021277,0.027027,0.042553,0.021277,0,0.001601,0.057143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.013223,0.002513,0.004959,0.939698,0.268041,0.375207,0.01157,0.013223,0,0.018182,0.003306,0.006826,0.001653,0.026446,0.010309,0.464832,0.391736,0.007538,0.003306,0,0.005025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002907,0.075581,0.002907,0.005814,0.939698,0.268041,0.884615,0.020349,0.026163,0.002907,0.087209,0.020349,0.006826,0.005814,0.026446,0.010309,0.464832,0.391736,0.014535,0.003306,0.014535,0.005025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002907,0.075581,0.002907,0.005814,0.939698,0.268041,0.375207,0.020349,0.026163,0.002907,0.087209,0.020349,0.006826,0.005814,0.026446,0.010309,0.464832,0.391736,0.014535,0.003306,0.014535,0.005025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.013223,0.002513,0.004959,0.939698,0.268041,0.804878,0.01157,0.013223,0,0.018182,0.003306,0.006826,0.001653,0.026446,0.02439,0.971831,0.391736,0.007538,0.003306,0,0.005025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002765,0.349498,0.003226,0.009677,1,0.291667,0.174654,0.024885,0.310201,0.011521,0.056856,0.124582,0,0.006452,0.015207,0.004147,0.173913,0.076959,0.0301,0.003687,0.016129,0.074415,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.005025,0.002513,0.003086,0.939698,0.171367,0.308642,0.003086,0.003086,0,0.003086,0.003086,0.006826,0,0.003058,0.002513,0.464832,0.102151,0.007538,0,0,0.005025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006036,0.098592,0.002012,0.020121,0.666667,0.007673,0.366862,0.024145,0.022133,0.008048,0.122736,0.030181,0,0.004024,0.004557,0.002012,0.039642,1,0.002279,0.017253,0.01006,0.002012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.032258,1,0.006908,0.333333,0.0625,0.007098,0.652491,0.5,0.195853,0.058824,0.333333,0.25,0.003549,0.013889,0.027778,0.004147,0.076309,0.521127,0.027189,0.5,0.176471,0.057604,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005714,0.342857,0.011429,0.625,0.035714,0.000911,0.652491,0.5,0.053686,0.017143,0.1,0.035714,0.000304,0.013158,0.025,0.002647,0.037429,0.435539,0.012476,0.117541,0.262857,0.015123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002825,0.471751,0.003549,0.029162,0.048802,0.007673,0.652491,0.125,0.050577,0.014124,0.118644,0.039548,0.003549,0.00976,0.007098,0.002662,0.076309,0.825843,0.016859,0.020049,0.022599,0.021295,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006036,1,0.071429,0.173599,0.011982,0.000911,0.666667,0.533333,0.333333,0.066667,0.205589,0.222222,0.000304,0.067864,0.222222,0.013333,0.083333,0.521127,0.027189,0.117541,0.262857,0.066667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006036,0.098592,0.003421,0.029162,0.007898,0.000911,0.652491,0.041009,0.125,0.008696,0.625,0.049031,0.000304,0.006427,0.014745,0.002647,0.100342,0.521127,0.012476,0.020049,0.01006,0.037628,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
